epoch,voltage,current,power,power_factor,power_consumption
1.554992239e+09,228.5,0.15,28,0.804,4
1.55499224e+09,228.6,0.15,28,0.8170000000000001,4
1.554992241e+09,228.6,0.15,29,0.83,4
1.554992242e+09,228.7,0.15,29,0.8320000000000001,4
1.554992243e+09,228.7,0.15,28,0.8190000000000001,4
1.554992244e+09,228.7,0.15,29,0.8240000000000001,4
1.554992245e+09,228.7,0.15,29,0.82,4
1.554992246e+09,228.7,0.15,29,0.83,4
1.554992247e+09,228.7,0.15,28,0.818,4
1.554992248e+09,228.7,0.15,29,0.8270000000000001,4
1.554992249e+09,228.5,0.27,36,0.563,4
1.55499225e+09,228.5,0.27,58,0.941,4
1.554992251e+09,228.5,0.27,57,0.922,4
1.554992252e+09,228.3,0.42,64,0.672,4
1.554992253e+09,228.3,0.44,84,0.836,4
1.554992254e+09,228.4,0.31,83,1,4
1.554992255e+09,228.3,0.43,65,0.652,4
1.554992256e+09,228.3,0.4,72,0.779,4
1.554992257e+09,228.2,0.43,69,0.698,4
1.554992258e+09,228.3,0.27,67,1,4
1.554992259e+09,228.3,0.21,85,1,4
1.55499226e+09,228.2,0.35,91,1,4
1.554992261e+09,228.2,0.44,86,0.86,4
1.554992262e+09,228.4,0.35,76,0.941,4
1.554992263e+09,228.2,0.38,91,1,4
1.554992264e+09,228.1,0.43,68,0.687,4
1.554992265e+09,228,0.44,68,0.677,4
1.554992266e+09,228.1,0.43,64,0.652,4
1.554992267e+09,228.1,0.38,64,0.726,4
1.554992268e+09,228.2,0.27,93,1,4
1.554992269e+09,228.2,0.15,96,1,4
1.55499227e+09,228.1,0.23,97,1,4
1.554992271e+09,228,0.43,96,0.97,4
1.554992272e+09,227.9,0.44,66,0.648,4
1.554992273e+09,228,0.44,61,0.606,4
1.554992274e+09,228,0.45,63,0.619,4
1.554992275e+09,228.2,0.44,66,0.65,4
1.554992276e+09,228.2,0.44,94,0.929,4
1.554992277e+09,228.3,0.38,90,1,4
1.554992278e+09,228.4,0.32,86,1,4
1.554992279e+09,228.6,0.22,82,1,4
1.55499228e+09,228.6,0.16,80,1,4
1.554992281e+09,228.5,0.35,83,1,4
1.554992282e+09,228.3,0.44,88,0.858,4
1.554992283e+09,228.4,0.44,90,0.883,4
1.554992284e+09,228.5,0.44,70,0.682,4
1.554992285e+09,228.5,0.44,66,0.648,4
1.554992286e+09,228.4,0.44,65,0.647,4
1.554992287e+09,228.4,0.44,65,0.637,4
1.554992288e+09,228.5,0.39,98,1,4
1.554992289e+09,228.6,0.25,99,1,4
1.55499229e+09,228.7,0.15,98,1,4
1.554992291e+09,228.6,0.28,98,1,4
1.554992292e+09,228.3,0.45,62,0.609,4
1.554992293e+09,228.4,0.45,64,0.618,4
1.554992294e+09,228.4,0.45,67,0.649,4
1.554992295e+09,228.4,0.45,68,0.6559999999999999,4
1.554992296e+09,228.6,0.45,74,0.721,4
1.554992297e+09,228.5,0.45,85,0.825,4
1.554992298e+09,228.6,0.44,80,0.79,4
1.554992299e+09,228.6,0.34,77,0.996,4
1.5549923e+09,228.8,0.21,73,1,4
1.554992301e+09,228.8,0.16,86,1,4
1.554992302e+09,228.6,0.39,93,1,4
1.554992303e+09,228.6,0.45,92,0.885,4
1.554992304e+09,228.6,0.44,94,0.93,4
1.554992305e+09,228.6,0.42,65,0.6759999999999999,4
1.554992306e+09,228.4,0.45,65,0.63,4
1.554992307e+09,228.4,0.45,65,0.63,4
1.554992308e+09,228.4,0.44,63,0.633,4
1.554992309e+09,228.5,0.36,98,1,4
1.55499231e+09,228.7,0.23,85,1,4
1.554992311e+09,228.8,0.2,76,1,4
1.554992312e+09,228.5,0.41,77,0.805,4
1.554992313e+09,228.5,0.45,76,0.736,4
1.554992314e+09,228.6,0.37,77,0.919,4
1.554992315e+09,228.7,0.25,76,1,4
1.554992316e+09,228.8,0.26,76,1,4
1.554992317e+09,228.4,0.45,72,0.6970000000000001,4
1.554992318e+09,228.4,0.45,71,0.6859999999999999,4
1.554992319e+09,228.3,0.45,69,0.674,4
1.55499232e+09,228.4,0.3,69,0.983,4
1.554992321e+09,228.6,0.2,79,1,4
1.554992322e+09,228.3,0.42,78,0.8170000000000001,4
1.554992323e+09,228.2,0.44,78,0.767,4
1.554992324e+09,228.1,0.45,81,0.789,4
1.554992325e+09,228.6,0.26,77,1,4
1.554992326e+09,228.6,0.26,72,1,4
1.554992327e+09,228.5,0.36,74,0.885,4
1.554992328e+09,228.4,0.45,73,0.7090000000000001,4
1.554992329e+09,228.4,0.45,76,0.743,4
1.55499233e+09,228.4,0.43,76,0.769,4
1.554992331e+09,228.6,0.27,76,1,4
1.554992332e+09,228.5,0.22,76,1,4
1.554992333e+09,228.3,0.44,76,0.757,4
1.554992334e+09,228.4,0.44,76,0.747,4
1.554992335e+09,228.4,0.34,76,0.9690000000000001,4
1.554992336e+09,228.5,0.24,76,1,4
1.554992337e+09,228.5,0.33,78,1,4
1.554992338e+09,228.3,0.45,74,0.721,4
1.554992339e+09,228.3,0.42,71,0.728,4
1.55499234e+09,228.4,0.45,71,0.6859999999999999,4
1.554992341e+09,228.4,0.31,71,0.9940000000000001,4
1.554992342e+09,228.6,0.21,83,1,4
1.554992343e+09,228.5,0.35,79,0.97,4
1.554992344e+09,228.4,0.45,77,0.7390000000000001,4
1.554992345e+09,228.5,0.41,78,0.8320000000000001,4
1.554992346e+09,228.8,0.29,78,1,4
1.554992347e+09,228.9,0.2,75,1,4
1.554992348e+09,228.6,0.43,75,0.764,4
1.554992349e+09,228.5,0.45,76,0.732,4
1.55499235e+09,228.6,0.44,76,0.754,4
1.554992351e+09,228.7,0.36,76,0.925,4
1.554992352e+09,228.8,0.24,76,1,4
1.554992353e+09,228.8,0.29,76,1,4
1.554992354e+09,228.6,0.45,76,0.733,4
1.554992355e+09,228.5,0.45,77,0.735,4
1.554992356e+09,228.7,0.29,78,1,4
1.554992357e+09,228.8,0.21,78,1,4
1.554992358e+09,228.4,0.44,71,0.705,4
1.554992359e+09,228.4,0.45,70,0.6759999999999999,4
1.55499236e+09,228.4,0.45,69,0.6709999999999999,4
1.554992361e+09,228.4,0.44,75,0.746,4
1.554992362e+09,228.4,0.42,75,0.765,4
1.554992363e+09,228.7,0.2,83,1,4
1.554992364e+09,228.3,0.4,77,0.8340000000000001,4
1.554992365e+09,228.4,0.45,76,0.7390000000000001,4
1.554992366e+09,228.5,0.4,79,0.86,4
1.554992367e+09,228.6,0.3,75,1,4
1.554992368e+09,228.6,0.31,76,1,4
1.554992369e+09,228.4,0.44,77,0.754,4
1.55499237e+09,228.3,0.45,80,0.765,4
1.554992371e+09,228.2,0.42,77,0.7879999999999999,4
1.554992372e+09,228.4,0.29,75,1,4
1.554992373e+09,228.5,0.2,77,1,4
1.554992374e+09,228.3,0.42,79,0.8240000000000001,4
1.554992375e+09,228.3,0.45,76,0.7390000000000001,4
1.554992376e+09,228.2,0.46,87,0.8270000000000001,4
1.554992377e+09,228.5,0.32,78,1,4
1.554992378e+09,228.7,0.21,80,1,4
1.554992379e+09,228.5,0.37,70,0.828,4
1.55499238e+09,228.3,0.45,70,0.6809999999999999,4
1.554992381e+09,228.1,0.46,70,0.66,4
1.554992382e+09,228.1,0.42,75,0.785,4
1.554992383e+09,228.3,0.26,80,1,4
1.554992384e+09,228.4,0.26,79,1,4
1.554992385e+09,228.3,0.45,79,0.762,4
1.554992386e+09,228.3,0.44,77,0.769,4
1.554992387e+09,228.5,0.33,74,0.972,4
1.554992388e+09,228.7,0.21,76,1,4
1.554992389e+09,228.5,0.37,76,0.899,4
1.55499239e+09,228.5,0.45,77,0.752,4
1.554992391e+09,228.4,0.46,76,0.728,4
1.554992392e+09,228.5,0.45,76,0.742,4
1.554992393e+09,228.6,0.35,77,0.9540000000000001,4
1.554992394e+09,228.7,0.25,75,1,4
1.554992395e+09,228.7,0.27,74,1,4
1.554992396e+09,228.5,0.46,79,0.753,4
1.554992397e+09,228.4,0.45,89,0.857,4
1.554992398e+09,228.5,0.31,80,1,4
1.554992399e+09,228.5,0.27,85,1,4
1.5549924e+09,228.5,0.39,79,0.8759999999999999,4
1.554992401e+09,228.5,0.45,73,0.703,4
1.554992402e+09,228.4,0.45,77,0.7490000000000001,4
1.554992403e+09,228.4,0.46,86,0.8170000000000001,4
1.554992404e+09,228.6,0.26,79,1,4
1.554992405e+09,228.7,0.23,79,1,4
1.554992406e+09,228.7,0.31,79,1,4
1.554992407e+09,228.5,0.44,76,0.747,4
1.554992408e+09,228.6,0.43,76,0.758,4
1.554992409e+09,228.7,0.3,76,1,4
1.55499241e+09,228.8,0.2,76,1,4
1.554992411e+09,228.5,0.41,76,0.8140000000000001,4
1.554992412e+09,228.5,0.45,75,0.723,4
1.554992413e+09,228.4,0.45,74,0.711,4
1.554992414e+09,228.4,0.39,71,0.787,4
1.554992415e+09,228.5,0.27,69,1,4
1.554992416e+09,228.6,0.24,78,1,4
1.554992417e+09,228.3,0.45,80,0.774,4
1.554992418e+09,228.3,0.44,79,0.784,4
1.554992419e+09,228.3,0.34,78,1,4
1.55499242e+09,228.3,0.23,71,1,4
1.554992421e+09,228.2,0.33,72,0.956,4
1.554992422e+09,228.1,0.46,76,0.728,4
1.554992423e+09,228,0.45,77,0.7390000000000001,4
1.554992424e+09,228.1,0.45,76,0.741,4
1.554992425e+09,228.3,0.37,77,0.895,4
1.554992426e+09,228.3,0.46,75,0.7140000000000001,4
1.554992427e+09,228.3,0.45,66,0.6409999999999999,4
1.554992428e+09,228.3,0.45,65,0.62,4
1.554992429e+09,228.3,0.44,99,0.983,4
1.55499243e+09,228.5,0.34,96,1,4
1.554992431e+09,228.6,0.2,94,1,4
1.554992432e+09,228.5,0.18,90,1,4
1.554992433e+09,228.2,0.43,77,0.777,4
1.554992434e+09,228.1,0.46,77,0.73,4
1.554992435e+09,228.2,0.46,80,0.769,4
1.554992436e+09,228.1,0.46,90,0.858,4
1.554992437e+09,228.1,0.46,77,0.733,4
1.554992438e+09,228.2,0.46,73,0.696,4
1.554992439e+09,228.2,0.45,72,0.696,4
1.55499244e+09,228.3,0.36,71,0.8490000000000001,4
1.554992441e+09,228.5,0.25,95,1,4
1.554992442e+09,228.6,0.15,97,1,4
1.554992443e+09,228.3,0.34,98,1,4
1.554992444e+09,228.2,0.44,98,0.973,4
1.554992445e+09,228.2,0.45,63,0.605,4
1.554992446e+09,228.1,0.46,64,0.608,4
1.554992447e+09,228.1,0.46,63,0.608,4
1.554992448e+09,228,0.45,65,0.624,4
1.554992449e+09,227.9,0.46,101,0.9520000000000001,4
1.55499245e+09,228,0.39,99,1,4
1.554992451e+09,228.3,0.26,95,1,4
1.554992452e+09,228.3,0.16,92,1,4
1.554992453e+09,228.3,0.27,82,1,4
1.554992454e+09,228.2,0.35,88,1,4
1.554992455e+09,228.1,0.46,82,0.7829999999999999,4
1.554992456e+09,228.3,0.46,85,0.812,4
1.554992457e+09,228.2,0.46,89,0.846,4
1.554992458e+09,228.1,0.45,73,0.698,4
1.554992459e+09,228.1,0.46,70,0.67,4
1.55499246e+09,228.2,0.45,68,0.664,4
1.554992461e+09,227.9,0.36,66,0.7909999999999999,4
1.554992462e+09,228.3,0.24,92,1,4
1.554992463e+09,228.4,0.16,99,1,4
1.554992464e+09,228,0.32,100,1,4
1.554992465e+09,227.9,0.46,101,0.9590000000000001,4
1.554992466e+09,227.9,0.46,64,0.613,4
1.554992467e+09,227.8,0.46,66,0.631,4
1.554992468e+09,227.8,0.45,64,0.617,4
1.554992469e+09,227.7,0.45,67,0.645,4
1.55499247e+09,227.7,0.46,96,0.912,4
1.554992471e+09,227.6,0.47,95,0.8859999999999999,4
1.554992472e+09,227.8,0.32,89,1,4
1.554992473e+09,228.1,0.2,84,1,4
1.554992474e+09,228.3,0.16,81,1,4
1.554992475e+09,228,0.39,84,0.94,4
1.554992476e+09,227.9,0.45,89,0.853,4
1.554992477e+09,227.8,0.46,96,0.904,4
1.554992478e+09,228,0.45,70,0.6809999999999999,4
1.554992479e+09,228,0.45,69,0.6579999999999999,4
1.55499248e+09,228,0.46,67,0.636,4
1.554992481e+09,227.9,0.46,65,0.625,4
1.554992482e+09,228.1,0.36,100,1,4
1.554992483e+09,228.2,0.24,100,1,4
1.554992484e+09,228.2,0.15,101,1,4
1.554992485e+09,228,0.32,101,1,4
1.554992486e+09,227.8,0.45,65,0.623,4
1.554992487e+09,227.9,0.46,64,0.612,4
1.554992488e+09,227.8,0.45,67,0.652,4
1.554992489e+09,227.8,0.46,69,0.662,4
1.55499249e+09,228,0.45,74,0.71,4
1.554992491e+09,228,0.45,87,0.8340000000000001,4
1.554992492e+09,228,0.46,82,0.787,4
1.554992493e+09,228.1,0.33,79,1,4
1.554992494e+09,228.2,0.22,85,1,4
1.554992495e+09,228.1,0.32,72,0.972,4
1.554992496e+09,227.9,0.46,77,0.727,4
1.554992497e+09,228.1,0.2,98,1,4
1.554992498e+09,227.9,0.39,96,1,4
1.554992499e+09,227.8,0.45,55,0.536,4
1.5549925e+09,227.8,0.45,67,0.6409999999999999,4
1.554992501e+09,227.7,0.46,62,0.597,4
1.554992502e+09,227.7,0.41,70,0.748,4
1.554992503e+09,227.7,0.44,96,0.948,4
1.554992504e+09,227.8,0.33,100,1,4
1.554992505e+09,228.1,0.17,100,1,4
1.554992506e+09,228.2,0.19,99,1,4
1.554992507e+09,227.9,0.42,76,0.78,4
1.554992508e+09,227.9,0.45,76,0.737,4
1.554992509e+09,227.9,0.45,83,0.8,4
1.55499251e+09,228.1,0.46,87,0.825,4
1.554992511e+09,228.2,0.46,84,0.802,4
1.554992512e+09,228.1,0.45,83,0.7979999999999999,4
1.554992513e+09,228.1,0.43,65,0.659,4
1.554992514e+09,228.4,0.32,72,0.973,4
1.554992515e+09,228.4,0.23,89,1,4
1.554992516e+09,228.3,0.37,92,1,4
1.554992517e+09,228.2,0.4,88,0.9470000000000001,4
1.554992518e+09,228.3,0.38,87,0.997,4
1.554992519e+09,228.4,0.25,84,1,4
1.55499252e+09,228.5,0.26,68,1,4
1.554992521e+09,228.3,0.45,76,0.726,4
1.554992522e+09,228.3,0.45,77,0.7490000000000001,4
1.554992523e+09,228.3,0.45,84,0.81,4
1.554992524e+09,228.2,0.45,77,0.7440000000000001,4
1.554992525e+09,228.4,0.31,77,1,4
1.554992526e+09,228.6,0.21,79,1,4
1.554992527e+09,228.5,0.37,85,0.9790000000000001,4
1.554992528e+09,228.3,0.45,77,0.746,4
1.554992529e+09,228.5,0.29,90,1,4
1.55499253e+09,228.6,0.2,84,1,4
1.554992531e+09,228.3,0.42,88,0.898,4
1.554992532e+09,228.4,0.45,62,0.598,4
1.554992533e+09,228.2,0.45,62,0.606,4
1.554992534e+09,228.2,0.45,60,0.585,4
1.554992535e+09,228.2,0.43,63,0.638,4
1.554992536e+09,228.3,0.3,88,1,4
1.554992537e+09,228.3,0.2,86,1,4
1.554992538e+09,228.1,0.42,82,0.85,4
1.554992539e+09,228.2,0.41,81,0.868,4
1.55499254e+09,228.5,0.28,74,1,4
1.554992541e+09,228.4,0.22,74,1,4
1.554992542e+09,228.3,0.44,76,0.752,4
1.554992543e+09,228.3,0.45,77,0.735,4
1.554992544e+09,228.2,0.46,75,0.711,4
1.554992545e+09,228.2,0.45,77,0.747,4
1.554992546e+09,228.3,0.31,75,1,4
1.554992547e+09,228.3,0.24,74,1,4
1.554992548e+09,228.4,0.34,83,1,4
1.554992549e+09,228.3,0.41,85,0.903,4
1.55499255e+09,228.3,0.38,88,1,4
1.554992551e+09,228.5,0.26,89,1,4
1.554992552e+09,228.5,0.24,89,1,4
1.554992553e+09,228.3,0.44,61,0.601,4
1.554992554e+09,228.3,0.44,68,0.677,4
1.554992555e+09,228.3,0.45,72,0.691,4
1.554992556e+09,228.3,0.43,68,0.6940000000000001,4
1.554992557e+09,228.3,0.32,86,1,4
1.554992558e+09,228.4,0.21,80,1,4
1.554992559e+09,228.2,0.36,84,1,4
1.55499256e+09,228,0.45,86,0.831,4
1.554992561e+09,228,0.38,85,0.972,4
1.554992562e+09,228.2,0.21,77,1,4
1.554992563e+09,227.9,0.44,76,0.7559999999999999,4
1.554992564e+09,227.9,0.45,76,0.742,4
1.554992565e+09,228,0.45,73,0.708,4
1.554992566e+09,228,0.44,69,0.69,4
1.554992567e+09,227.9,0.43,67,0.67,4
1.554992568e+09,228.1,0.27,66,1,4
1.554992569e+09,228.1,0.23,86,1,4
1.55499257e+09,227.9,0.43,97,0.972,4
1.554992571e+09,228.1,0.36,88,1,4
1.554992572e+09,228.2,0.24,89,1,4
1.554992573e+09,228.3,0.31,62,0.883,4
1.554992574e+09,228.1,0.45,64,0.624,4
1.554992575e+09,228.1,0.45,75,0.7290000000000001,4
1.554992576e+09,228.2,0.45,67,0.657,4
1.554992577e+09,228.1,0.45,81,0.785,4
1.554992578e+09,228.2,0.35,82,1,4
1.554992579e+09,228.4,0.25,78,1,4
1.55499258e+09,228.1,0.44,78,0.7709999999999999,4
1.554992581e+09,228.3,0.32,74,0.993,4
1.554992582e+09,228.2,0.3,89,1,4
1.554992583e+09,228.3,0.21,78,1,4
1.554992584e+09,228,0.43,81,0.828,4
1.554992585e+09,228,0.45,85,0.8190000000000001,4
1.554992586e+09,228,0.45,64,0.619,4
1.554992587e+09,227.9,0.44,62,0.618,4
1.554992588e+09,227.9,0.45,73,0.705,4
1.554992589e+09,228,0.32,66,0.9129999999999999,4
1.55499259e+09,228.2,0.19,94,1,4
1.554992591e+09,228.3,0.17,96,1,4
1.554992592e+09,228,0.4,96,1,4
1.554992593e+09,228,0.45,98,0.961,4
1.554992594e+09,227.9,0.44,66,0.66,4
1.554992595e+09,228,0.44,64,0.635,4
1.554992596e+09,228,0.44,63,0.622,4
1.554992597e+09,228.1,0.44,64,0.643,4
1.554992598e+09,228.2,0.45,84,0.821,4
1.554992599e+09,228.3,0.44,82,0.8029999999999999,4
1.5549926e+09,228.3,0.42,78,0.8029999999999999,4
1.554992601e+09,228.4,0.29,74,1,4
1.554992602e+09,228.5,0.2,84,1,4
1.554992603e+09,228.2,0.42,79,0.82,4
1.554992604e+09,228.1,0.44,80,0.785,4
1.554992605e+09,228.1,0.36,78,0.932,4
1.554992606e+09,228.1,0.26,73,1,4
1.554992607e+09,228.4,0.28,72,1,4
1.554992608e+09,228.3,0.44,74,0.736,4
1.554992609e+09,228.6,0.15,30,0.8540000000000001,4
1.55499261e+09,228.6,0.15,29,0.8270000000000001,4
1.554992611e+09,228.5,0.15,29,0.8009999999999999,4
1.554992612e+09,228.5,0.15,29,0.831,4
1.554992613e+09,228.5,0.15,29,0.8240000000000001,4
1.554992614e+09,228.6,0.15,29,0.8270000000000001,4
1.554992615e+09,228.5,0.15,29,0.828,4
1.554992616e+09,228.6,0.15,29,0.833,4
1.554992617e+09,228.5,0.15,29,0.7979999999999999,4
1.554992618e+09,228.4,0.15,29,0.825,4
1.554992619e+09,228.3,0.15,29,0.8320000000000001,4
1.55499262e+09,228.4,0.15,29,0.84,4
1.554992621e+09,228.4,0.15,29,0.828,4
1.554992622e+09,228.3,0.15,29,0.8059999999999999,4
1.554992623e+09,228.3,0.15,28,0.82,4
1.554992624e+09,228.4,0.15,29,0.83,4
1.554992625e+09,228.4,0.15,29,0.838,4
1.554992626e+09,228.3,0.15,29,0.8270000000000001,4
1.554992627e+09,228.4,0.15,28,0.8059999999999999,4
1.554992628e+09,228.4,0.15,30,0.856,4
1.554992629e+09,228.4,0.15,29,0.8009999999999999,4
1.55499263e+09,228.3,0.15,29,0.82,4
1.554992631e+09,228.3,0.15,29,0.83,4
1.554992632e+09,228.3,0.15,29,0.831,4
1.554992633e+09,228.3,0.15,31,0.89,4
1.554992634e+09,228.3,0.15,29,0.8270000000000001,4
1.554992635e+09,228.4,0.15,28,0.813,4
1.554992636e+09,228.4,0.15,29,0.8370000000000001,4
1.554992637e+09,228.4,0.15,29,0.8270000000000001,4
1.554992638e+09,228.4,0.15,30,0.872,4
1.554992639e+09,228.4,0.15,28,0.8079999999999999,4
1.55499264e+09,228.3,0.15,28,0.807,4
1.554992641e+09,228.3,0.15,29,0.8370000000000001,4
1.554992642e+09,228.3,0.15,28,0.8,4
1.554992643e+09,228.4,0.15,28,0.8140000000000001,4
1.554992644e+09,228.6,0.15,29,0.8340000000000001,4
1.554992645e+09,228.3,0.27,43,0.6809999999999999,4
1.554992646e+09,228.1,0.27,58,0.9229999999999999,4
1.554992647e+09,228.2,0.27,58,0.9209999999999999,4
1.554992648e+09,228.3,0.17,66,1,4
1.554992649e+09,228.2,0.25,66,1,4
1.55499265e+09,228.1,0.37,64,0.753,4
1.554992651e+09,228,0.42,67,0.6890000000000001,4
1.554992652e+09,228.1,0.42,56,0.575,4
1.554992653e+09,228.3,0.44,57,0.57,4
1.554992654e+09,228.4,0.35,52,0.639,4
1.554992655e+09,228.7,0.3,60,0.863,4
1.554992656e+09,228.8,0.23,58,1,4
1.554992657e+09,228.7,0.19,54,1,4
1.554992658e+09,228.6,0.23,49,0.932,4
1.554992659e+09,228.3,0.35,49,0.612,4
1.55499266e+09,228.1,0.39,62,0.69,4
1.554992661e+09,227.9,0.38,61,0.7070000000000001,4
1.554992662e+09,227.8,0.3,70,1,4
1.554992663e+09,227.9,0.32,65,0.889,4
1.554992664e+09,228,0.32,51,0.6859999999999999,4
1.554992665e+09,228,0.3,48,0.706,4
1.554992666e+09,228.1,0.22,53,1,4
1.554992667e+09,228,0.3,58,0.831,4
1.554992668e+09,227.9,0.43,50,0.511,4
1.554992669e+09,227.9,0.35,48,0.602,4
1.55499267e+09,227.9,0.29,51,0.779,4
1.554992671e+09,228.1,0.21,50,1,4
1.554992672e+09,228.2,0.21,57,1,4
1.554992673e+09,228.2,0.34,71,0.905,4
1.554992674e+09,228.4,0.15,71,1,4
1.554992675e+09,228.6,0.15,74,1,4
1.554992676e+09,228.6,0.15,47,1,4
1.554992677e+09,228.4,0.23,56,1,4
1.554992678e+09,228.1,0.43,56,0.565,4
1.554992679e+09,228.1,0.44,65,0.653,4
1.55499268e+09,228.2,0.44,67,0.6679999999999999,4
1.554992681e+09,228.2,0.44,51,0.51,4
1.554992682e+09,228.2,0.41,48,0.51,4
1.554992683e+09,228.3,0.31,41,0.58,4
1.554992684e+09,228.4,0.2,36,0.774,4
1.554992685e+09,228.4,0.15,85,1,4
1.554992686e+09,228.4,0.15,86,1,4
1.554992687e+09,228.3,0.15,85,1,4
1.554992688e+09,228.3,0.17,87,1,4
1.554992689e+09,228,0.4,42,0.46,4
1.55499269e+09,228,0.44,39,0.392,4
1.554992691e+09,228,0.44,44,0.435,4
1.554992692e+09,228,0.44,48,0.48200000000000004,4
1.554992693e+09,228.2,0.37,69,0.8109999999999999,4
1.554992694e+09,228.3,0.24,67,1,4
1.554992695e+09,228.4,0.21,62,1,4
1.554992696e+09,228.6,0.15,56,1,4
1.554992697e+09,228.6,0.15,66,1,4
1.554992698e+09,228.5,0.16,69,1,4
1.554992699e+09,228.5,0.17,79,1,4
1.5549927e+09,228.4,0.39,77,0.848,4
